Dataset,Seed,Model,Accuracy,F1_Macro,AUC_ROC,Brier_Score,Log_Loss,Train_Time_s,Predict_Time_s
wine,42,Parampara Legacy,0.9722222222222222,0.970961887477314,1.0,,0.0804298375851446,0.3485860824584961,0.0012390613555908
wine,42,Parampara Pro,0.9444444444444444,0.94531328320802,0.9989177489177488,,0.1235199884936733,4.393003225326538,0.0003402233123779
wine,42,Parampara Pro+,0.9444444444444444,0.94531328320802,0.9989177489177488,,0.1235199884936739,3.971870422363281,0.0002908706665039
wine,42,Ananta Legacy,0.3888888888888889,0.1866666666666666,0.552061827061827,,1.0837485880338331,70.59956049919128,0.8836610317230225
wine,42,Ananta Pro,0.9722222222222222,0.970961887477314,0.9976356976356976,,0.1236652993542449,275.1686067581177,67.92041873931885
wine,42,Samyoga Legacy,0.8888888888888888,0.8864160401002507,0.9741668054168054,,0.4498002395350471,162.58731842041016,0.908447265625
wine,42,Samyoga Shadow,0.9444444444444444,0.94531328320802,0.9989177489177488,,,0.2276418209075927,0.0004055500030517
wine,42,Samyoga Pro,0.9444444444444444,0.9457411645054664,0.9989177489177488,,,1600.539188861847,9.553365468978882
wine,42,Samyoga Go,0.9444444444444444,0.9484126984126984,0.9933561808561808,,,0.139965534210205,0.0172901153564453
wine,43,Parampara Legacy,0.9722222222222222,0.970961887477314,1.0,,0.0804298375851446,0.3657665252685547,0.0014195442199707
wine,43,Parampara Pro,0.9444444444444444,0.94531328320802,0.9989177489177488,,0.1235199884936733,4.773452520370483,0.0005087852478027
wine,43,Parampara Pro+,0.9444444444444444,0.94531328320802,0.9989177489177488,,0.1235199884936739,4.427273273468018,0.0002856254577636
wine,43,Ananta Legacy,0.3888888888888889,0.1866666666666666,0.6498839123839124,,1.0738749295723675,76.99122095108032,0.9624121189117432
wine,43,Ananta Pro,0.9722222222222222,0.970961887477314,0.9976356976356976,,0.1236652993542449,279.8012886047363,71.38386845588684
wine,43,Samyoga Legacy,0.9166666666666666,0.9197780776728144,0.9813843563843564,,0.2782928137324189,170.94693636894226,0.844097375869751
wine,43,Samyoga Shadow,0.9444444444444444,0.94531328320802,0.9989177489177488,,,0.1931445598602295,0.0006513595581054
